event,sex,rank,time_s,wind,name,country,birthdate,place,location,date,age
100m,male,1,9.58,0.9,Usain Bolt,JAM,1986-08-21,1,Berlin,2009-08-16,8396
100m,male,2,9.63,1.5,Usain Bolt,JAM,1986-08-21,1,London,2012-08-05,9481
100m,male,3,9.69,0,Usain Bolt,JAM,1986-08-21,1,Beijing,2008-08-16,8031
100m,male,3,9.69,2,Tyson Gay,USA,1982-08-09,1,Shanghai,2009-09-20,9904
100m,male,3,9.69,-0.1,Yohan Blake,JAM,1989-12-26,1,Lausanne,2012-08-23,8276
100m,male,6,9.71,0.9,Tyson Gay,USA,1982-08-09,2,Berlin,2009-08-16,9869
100m,male,7,9.72,1.7,Usain Bolt,JAM,1986-08-21,1rA,New York City,2008-05-31,7954
100m,male,7,9.72,0.2,Asafa Powell,JAM,1982-11-23,1rA,Lausanne,2008-09-02,9415
100m,male,9,9.74,1.7,Asafa Powell,JAM,1982-11-23,1h2,Rieti,2007-09-09,9056
100m,male,9,9.74,0.9,Justin Gatlin,USA,1982-02-10,1,Ad-Dawhah,2015-05-15,12147
100m,male,11,9.75,1.1,Yohan Blake,JAM,1989-12-26,1,Kingston,2012-06-29,8221
100m,male,11,9.75,1.5,Yohan Blake,JAM,1989-12-26,2,London,2012-08-05,8258
100m,male,11,9.75,0.9,Justin Gatlin,USA,1982-02-10,1rA,Roma,2015-06-04,12167
100m,male,11,9.75,1.4,Justin Gatlin,USA,1982-02-10,1rA,Lausanne,2015-07-09,12202
100m,male,15,9.76,1.8,Usain Bolt,JAM,1986-08-21,1,Kingston,2008-05-03,7926
100m,male,15,9.76,1.3,Usain Bolt,JAM,1986-08-21,1,Bruxelles,2011-09-16,9157
100m,male,15,9.76,-0.1,Usain Bolt,JAM,1986-08-21,1,Roma,2012-05-31,9415
100m,male,15,9.76,1.4,Yohan Blake,JAM,1989-12-26,1rA,Zürich,2012-08-30,8283
100m,male,15,9.76,0.6,Christian Coleman,USA,1996-03-06,1,Ad-Dawhah,2019-09-28,8606
100m,male,20,9.77,1.6,Asafa Powell,JAM,1982-11-23,1,Athínai,2005-06-14,8239
100m,male,20,9.77,1.5,Asafa Powell,JAM,1982-11-23,1,Gateshead,2006-06-11,8601
100m,male,20,9.77,1,Asafa Powell,JAM,1982-11-23,1rA,Zürich,2006-08-18,8669
100m,male,20,9.77,1.6,Tyson Gay,USA,1982-08-09,1q1,Eugene,2008-06-28,9455
100m,male,20,9.77,-1.3,Usain Bolt,JAM,1986-08-21,1,Bruxelles,2008-09-05,8051
100m,male,20,9.77,0.9,Asafa Powell,JAM,1982-11-23,1h1,Rieti,2008-09-07,9420
100m,male,20,9.77,0.4,Tyson Gay,USA,1982-08-09,1,Roma,2009-07-10,9832
